dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/mjksef	6ec0db76-23c5-44b5-80f8-ad7e2aa17773	RHS monitoring of native and naturalised plants and animals at its gardens and surrounding areas		1
10.15468/96fgbz	78503c3e-b8f0-4998-9ac3-a99277f5a3c3	Herbarium Des Méloizes Albert (BOUM)		1
10.15468/l0wmu8	7e285238-f762-11e1-a439-00145eb45e9a	Naturhistorisches Museum Mainz, Botanical Collection	Renker, C. (Ed.) 2010+ (continuously updated): Digitised specimen data at Naturhistorisches Museum Mainz / Landessammlung für Naturkunde Rheinland-Pfalz (MNHM).	1
10.15468/5sl7sh	7f5260c2-f762-11e1-a439-00145eb45e9a	Natural History Museum, Vienna - Herbarium W		1
10.15468/ynjblx	857bce66-f762-11e1-a439-00145eb45e9a	Biologiezentrum Linz	Biologiezentrum Linz Oberoesterreich. Biologiezentrum Linz. Occurrence dataset https://doi.org/10.15468/ynjblx accessed via GBIF.org on 2021-12-16.	1
10.15468/gitoa1	8642bfd0-f762-11e1-a439-00145eb45e9a	inatura - Erlebnis Naturschau Dornbirn	inatura - Erlebnis Naturschau Dornbirn. inatura - Erlebnis Naturschau Dornbirn. Occurrence Dataset https://doi.org/10.15468/gitoa1 accessed via GBIF.org on 2018-02-28.	1
10.15468/axrelr	89c53edb-0fac-4118-bdc0-d70ca50953dc	Kathryn Kalmbach Herbarium		1
10.15468/auew9b	9152e072-2de0-4e83-91f0-0a33fdac66f6	Collection botanique É. Juttin (BOUM)	Collection botanique É. Juttin (BOUM)	1
10.15468/d3tufo	a99ca3c9-7448-4bf6-aba5-0ef61b01232c	Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups		1
10.15468/mdnmzb	af1b4db0-c8ce-4a95-b700-8a6a02bed9d6	University of South Florida Herbarium (USF)	Wunderlin, R. P., B. F. Hansen, A. R. Franck, and F. B. Essig (2017) Atlas of Florida Plants. Florida.PlantAtlas.org. [S.M. Landry and K.N. Campbell (original application development), USF Water Institute]. Institute for Systematic Botany, University of South Florida, Tampa.	1
10.15468/fyuklz	bfc6fe18-77c7-4ede-a555-9207d60d1d86	Waarnemingen.be - Plant occurrences in Flanders and the Brussels Capital Region, Belgium	Steeman R, Vanreusel W, Barendse R, Verloove F, Wysmantel N, Van den Bussche W, Gyselinck T, Hendrickx P, Zwaenepoel A, Van Vooren P, Desmet P, Gielen K, Herremans M, Swinnen K, all plant working groups and plant observers (2021): Waarnemingen.be - Plant occurrences in Flanders and the Brussels Capital Region, Belgium. v1.8. Natuurpunt. Dataset/Occurrence. https://doi.org/10.15468/fyuklz	1
10.5886/jd11sg3p	c4a5efee-4c61-45d8-bd7a-6275b2388308	Herbier du Québec (QUE) - Collection de plantes vasculaires	Herbier du Québec (QUE) du Gouvernement du Québec, ministère des Forêts, de la Faune et des Parcs et ministère de l’Agriculture, des Pêcheries et de l’Alimentation. http://dx.doi.org/10.5886/jd11sg3p (accessed on [date]).	1
10.15468/nl8bvi	c8d12f8a-7e39-4e2c-92d7-825d590ad15b	University of Michigan Herbarium	UM Herbarium Collection	1
10.15468/zsgiog	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	University of Vermont, Pringle Herbarium		1
10.15468/d51v1f	f3f03cbf-1a01-4739-ae15-c1355b8c2dbf	Carnegie Museum of Natural History Herbarium		1
10.15468/axtkuz	fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9	University of Graz, Institute of Plant Sciences - Herbarium GZU		1
10.15468/457gm5	ffbcf8ad-ad21-407f-bd49-57f10ab4a3c1	23 - Inventaire de l’Herbier GRM du Muséum de Grenoble - Données de l’herbier régional (GRM) sur le territoire de la région Auvergne Rhône-Alpes		1
